Número de queimadas em Piracicaba,Material Particulado (PM10) µg/m3,Material Particulado (PM2.5) µg/m3,Óxidos de nitrogênio (NO) µg/m3,Óxidos de nitrogênio (NO₂),Óxidos de nitrogênio (NOₓ),Ozônio (O₃) µg/m3,Cidade,Ano,Mês,Temperatura média do ar (°C),Umidade relativa do ar (%),"Velocidade e direção do vento (m/s, °)",Número de dias com chuva,Precipitação (mm),Rendimento médio (kg/ha) SP,FCi (SP-Piraricaba),Rendimento médio (kg/ha) Piracicaba
0,22,8,6,16,13,41,Piracicaba,2013,Janeiro,"23,6",95,"2,4",19,"257,2",4462269,"0,32%",14303
0,24,9,4,16,12,45,Piracicaba,2013,Fevereiro,"24,4",95,"2,1",23,"128,4",4665920,"0,32%",14955
0,24,10,5,18,14,40,Piracicaba,2013,Março,"23,8",96,"2,2",13,"150,8",4665920,"0,32%",14955
2,38,15,9,25,21,38,Piracicaba,2013,Abril,"21,6",96,"1,9",10,"184,4",4665920,"0,32%",14955
1,53,19,14,27,25,31,Piracicaba,2013,Maio,"19,8",,"1,8",10,"89,2",4665920,"0,32%",14955
0,36,16,16,26,26,24,Piracicaba,2013,Junho,"18,2",,"1,6",23,133,4681000,"0,32%",15004
3,39,16,15,27,26,28,Piracicaba,2013,Julho,"16,7",76,"1,9",21,"55,8",4681000,"0,32%",15004
5,59,20,10,30,24,39,Piracicaba,2013,Agosto,"18,5",65,"2,3",2,"2,6",4681000,"0,32%",15004
9,51,20,6,28,20,47,Piracicaba,2013,Setembro,"21,7",62,"2,1",7,"30,4",4595901,"0,32%",14731
0,37,14,4,24,16,53,Piracicaba,2013,Outubro,,,0,13,"167,4",4595901,"0,32%",14731
0,35,12,4,21,14,57,Piracicaba,2013,Novembro,"23,8",73,"2,4",11,"124,4",4595901,"0,32%",14731
0,29,10,3,17,12,61,Piracicaba,2013,Dezembro,"25,5",69,"2,4",10,"127,2",4772051,"0,32%",15296
0,25,9,2,14,10,73,Piracicaba,2014,Janeiro,26,67,"2,3",13,"86,6",4434688,"0,14%",6306
0,28,11,3,17,11,63,Piracicaba,2014,Fevereiro,"26,1",64,"2,4",13,"53,6",4434688,"0,14%",6306
0,25,10,4,16,12,51,Piracicaba,2014,Março,"24,1",72,"2,2",10,127,3131064,"0,14%",4452
0,34,12,7,21,17,45,Piracicaba,2014,Abril,"22,6",72,"2,2",10,"28,6",3131064,"0,14%",4452
0,47,18,9,25,20,35,Piracicaba,2014,Maio,"19,1",72,"1,9",6,"39,4",3131064,"0,14%",4452
4,48,19,10,25,21,30,Piracicaba,2014,Junho,"18,5",72,"1,9",5,"2,4",3131064,"0,14%",4452
0,44,17,9,26,21,30,Piracicaba,2014,Julho,"17,8",69,2,8,null,3185767,"0,14%",4530
13,55,22,7,29,21,43,Piracicaba,2014,Agosto,"20,5",58,"2,2",1,null,3185767,"0,14%",4530
2,46,22,3,23,15,57,Piracicaba,2014,Setembro,"22,6",62,"2,4",,null,3185767,"0,14%",4530
7,53,22,3,23,15,75,Piracicaba,2014,Outubro,"24,6",54,"2,7",5,"21,8",3600800,"0,14%",5120
0,26,11,2,16,11,67,Piracicaba,2014,Novembro,"24,1",69,"2,5",12,"167,4",3600800,"0,14%",5120
1,20,8,2,12,8,60,Piracicaba,2014,Dezembro,"24,4",71,"2,4",17,"279,8",3600800,"0,14%",5120
0,25,11,1,11,7,83,Piracicaba,2015,Janeiro,"27,1",66,"2,2",14,116,4111538,"0,24%",9777
0,23,8,3,12,9,48,Piracicaba,2015,Fevereiro,24,78,2,19,247,3899995,"0,24%",9274
0,28,10,4,15,11,43,Piracicaba,2015,Março,"23,2",79,"1,8",21,"139,4",3899995,"0,24%",9274
0,35,13,5,19,14,42,Piracicaba,2015,Abril,"22,1",73,"2,1",4,13,3899995,"0,24%",9274
0,32,12,8,19,17,26,Piracicaba,2015,Maio,"19,5",78,"1,9",15,"84,4",3899995,"0,24%",9274
2,37,13,9,22,19,25,Piracicaba,2015,Junho,"18,4",74,2,5,"6,6",3899995,"0,24%",9274
0,37,15,10,23,21,24,Piracicaba,2015,Julho,"18,4",77,"1,8",12,40,3956600,"0,24%",9409
1,59,20,8,24,19,41,Piracicaba,2015,Agosto,"20,5",61,"2,1",5,"33,4",3956600,"0,24%",9409
1,52,19,,,,55,Piracicaba,2015,Setembro,"23,1",67,"2,2",7,,3956600,"0,24%",9409
0,47,17,2,13,9,65,Piracicaba,2015,Outubro,"24,9",66,"2,5",9,"100,6",4409236,"0,24%",10485
0,28,11,2,9,6,55,Piracicaba,2015,Novembro,"24,4",77,"2,2",20,"267,8",4409236,"0,24%",10485
0,24,9,1,9,6,54,Piracicaba,2015,Dezembro,"25,1",75,"2,1",20,"238,4",4412216,"0,24%",10492
0,21,8,2,8,6,42,Piracicaba,2016,Janeiro,"24,9",73,"2,4",16,"278,4",4223242,"0,24%",10042
1,26,10,2,10,7,47,Piracicaba,2016,Fevereiro,"26,1",74,"2,1",19,"194,2",4123760,"0,24%",9805
1,26,10,3,12,8,39,Piracicaba,2016,Março,"24,7",75,2,16,"130,6",4123760,"0,24%",9805
3,55,19,4,17,12,48,Piracicaba,2016,Abril,25,64,"1,9",4,6,4123760,"0,24%",9805
5,35,14,7,20,16,27,Piracicaba,2016,Maio,"19,7",76,"1,9",9,,4123760,"0,24%",9805
3,37,16,12,23,22,23,Piracicaba,2016,Junho,"15,4",77,"1,6",,,4123760,"0,24%",9805
3,58,20,7,24,19,33,Piracicaba,2016,Julho,"17,9",65,"1,9",,,4146170,"0,24%",9858
3,52,18,5,22,15,44,Piracicaba,2016,Agosto,"20,3",64,"2,2",,,4146170,"0,24%",9858
5,54,16,4,21,14,51,Piracicaba,2016,Setembro,"21,7",62,"2,3",3,,4177223,"0,24%",9932
1,28,9,2,15,10,53,Piracicaba,2016,Outubro,"22,8",69,"2,5",11,"102,4",4177223,"0,24%",9932
0,26,10,2,13,8,51,Piracicaba,2016,Novembro,"23,5",70,"2,5",15,"193,8",4177223,"0,24%",9932
0,22,8,1,10,7,47,Piracicaba,2016,Dezembro,"24,9",71,"2,3",19,"180,6",4179900,"0,24%",9939
0,17,7,1,9,6,43,Piracicaba,2017,Janeiro,"24,7",78,2,22,"316,6",4286528,"0,22%",9229
0,25,10,1,11,7,46,Piracicaba,2017,Fevereiro,"26,1",70,"2,1",10,98,4286528,"0,22%",9229
0,21,8,3,12,9,39,Piracicaba,2017,Março,"24,5",73,"2,2",14,131,4286528,"0,22%",9229
0,28,11,3,15,10,40,Piracicaba,2017,Abril,"23,7",72,"2,1",8,124,4342658,"0,22%",9350
0,28,12,7,18,15,30,Piracicaba,2017,Maio,"20,4",86,"1,7",13,"152,4",4342658,"0,22%",9350
1,32,14,7,20,17,26,Piracicaba,2017,Junho,"18,1",98,"1,8",3,,4342658,"0,22%",9350
7,50,17,6,20,15,33,Piracicaba,2017,Julho,17,,2,1,"0,2",4918521,"0,22%",10589
14,48,17,5,23,17,38,Piracicaba,2017,Agosto,"18,8",,"2,1",3,"23,8",4918521,"0,22%",10589
12,63,26,2,21,13,67,Piracicaba,2017,Setembro,"23,8",,"2,3",2,,5335500,"0,22%",11487
1,35,12,2,16,10,56,Piracicaba,2017,Outubro,"23,9",,"2,4",14,"77,4",5335500,"0,22%",11487
1,23,9,2,13,8,53,Piracicaba,2017,Novembro,"23,4",,"2,4",15,"226,6",5335500,"0,22%",11487
0,22,9,1,11,7,49,Piracicaba,2017,Dezembro,"25,1",,"2,3",22,"59,2",5318700,"0,22%",11451
0,18,7,1,9,6,45,Piracicaba,2018,Janeiro,"23,6",,"2,2",26,"177,4",4683466,"0,25%",11634
1,20,8,2,11,8,41,Piracicaba,2018,Fevereiro,"23,6",,"2,4",9,"69,6",4683466,"0,25%",11634
0,24,10,2,11,7,46,Piracicaba,2018,Março,,,2,12,"164,6",4683466,"0,25%",11634
1,32,14,3,15,11,44,Piracicaba,2018,Abril,,,,5,"56,4",5076053,"0,25%",12609
1,41,17,5,17,13,39,Piracicaba,2018,Maio,,,,8,13,5076053,"0,25%",12609
7,46,17,7,21,17,27,Piracicaba,2018,Junho,,,,7,"9,4",4706900,"0,25%",11692
21,73,28,6,24,18,39,Piracicaba,2018,Julho,,,,1,"2,4",4706900,"0,25%",11692
2,31,13,5,19,14,35,Piracicaba,2018,Agosto,,,,10,"100,8",4706900,"0,25%",11692
0,36,16,3,16,10,53,Piracicaba,2018,Setembro,,,,12,"46,8",4619548,"0,25%",11475
0,26,11,2,13,9,50,Piracicaba,2018,Outubro,"23,3",72,"2,4",17,"159,6",4619548,"0,25%",11475
0,22,9,2,12,8,47,Piracicaba,2018,Novembro,"23,8",72,"2,5",15,178,4619548,"0,25%",11475
0,23,10,2,11,7,57,Piracicaba,2018,Dezembro,"25,9",66,"2,3",13,"81,2",4461048,"0,25%",11082
0,22,10,1,10,6,60,Piracicaba,2019,Janeiro,"26,8",70,"1,8",14,"110,6",4847138,"0,23%",11207
1,21,9,2,11,8,43,Piracicaba,2019,Fevereiro,"24,8",75,"1,8",14,"138,2",4847138,"0,23%",11207
0,23,8,2,10,7,40,Piracicaba,2019,Março,"24,6",78,"1,8",16,"62,4",4169197,"0,23%",9639
0,28,12,4,14,10,40,Piracicaba,2019,Abril,"23,6",77,,13,"150,4",4169197,"0,23%",9639
0,32,13,5,16,13,33,Piracicaba,2019,Maio,"21,4",78,"1,3",8,"51,6",4169197,"0,23%",9639
6,38,15,7,18,15,31,Piracicaba,2019,Junho,"19,2",73,"1,3",2,11,4312090,"0,23%",9970
3,41,16,6,19,15,36,Piracicaba,2019,Julho,"17,5",70,"1,4",7,"42,8",4312090,"0,23%",9970
7,46,16,4,19,13,46,Piracicaba,2019,Agosto,"19,9",63,"1,9",2,,4312090,"0,23%",9970
7,52,20,3,17,11,53,Piracicaba,2019,Setembro,"23,1",63,2,,,4590792,"0,23%",10614
0,50,17,2,15,9,69,Piracicaba,2019,Outubro,"25,7",58,2,2,,4590792,"0,23%",10614
1,30,11,1,14,9,56,Piracicaba,2019,Novembro,"24,5",70,"2,2",14,"173,8",4590792,"0,23%",10614
0,24,9,2,12,8,47,Piracicaba,2019,Dezembro,"24,9",73,"1,8",14,"203,2",4815715,"0,23%",11134
0,20,8,3,11,7,38,Piracicaba,2020,Janeiro,25,74,"2,2",15,"164,2",4337484,"0,27%",11807
0,16,7,3,12,8,33,Piracicaba,2020,Fevereiro,"23,8",80,2,18,"375,2",4337484,"0,27%",11807
1,24,10,2,11,7,45,Piracicaba,2020,Março,"24,1",69,"2,2",8,"65,6",4337484,"0,27%",11807
1,33,13,2,12,8,41,Piracicaba,2020,Abril,"21,9",68,"1,8",2,3,4337484,"0,27%",11807
2,40,15,4,16,12,31,Piracicaba,2020,Maio,"18,1",68,"1,9",3,"11,8",4337484,"0,27%",11807
4,35,13,5,17,13,24,Piracicaba,2020,Junho,"19,8",75,"1,9",8,48,4866008,"0,27%",13246
6,46,17,8,21,17,32,Piracicaba,2020,Julho,"19,4",67,"1,9",2,,4866008,"0,27%",13246
3,43,16,5,20,15,40,Piracicaba,2020,Agosto,"19,6",63,2,,,4866008,"0,27%",13246
8,62,27,4,21,14,58,Piracicaba,2020,Setembro,"24,6",55,"2,2",,,4330623,"0,27%",11788
22,43,18,3,17,11,60,Piracicaba,2020,Outubro,"25,2",59,"2,5",,,4330623,"0,27%",11788
2,26,10,2,13,9,50,Piracicaba,2020,Novembro,"24,2",66,"2,3",,,4330623,"0,27%",11788
0,16,7,2,10,6,45,Piracicaba,2020,Dezembro,25,73,"2,2",,,4507623,"0,27%",12270
0,24,8,2,9,7,41,Piracicaba,2021,Janeiro,"25,8",74,"2,1",,,4287639,"0,32%",13560
0,26,9,4,11,9,39,Piracicaba,2021,Fevereiro,25,71,"2,1",,,4287639,"0,32%",13560
0,32,11,2,22,13,44,Piracicaba,2021,Março,"25,2",71,"1,8",,,4287639,"0,32%",13560
0,23,12,3,15,11,37,Piracicaba,2021,Abril,"21,9",68,"2,1",,,4691660,"0,32%",14838
3,38,16,7,25,19,29,Piracicaba,2021,Maio,"19,5",69,"1,7",,,4691660,"0,32%",14838
3,36,14,7,23,18,25,Piracicaba,2021,Junho,"18,4",72,"1,7",,,4691660,"0,32%",14838
14,52,19,10,25,20,34,Piracicaba,2021,Julho,"16,9",58,"1,8",,,4691660,"0,32%",14838
39,53,22,4,20,14,45,Piracicaba,2021,Agosto,"20,8",56,"2,3",,,4691660,"0,32%",14838
6,57,23,3,20,13,59,Piracicaba,2021,Setembro,"24,7",54,"2,4",,,4208215,"0,32%",13309
0,22,10,3,16,10,44,Piracicaba,2021,Outubro,"22,6",69,"2,6",,,4208215,"0,32%",13309
0,22,9,2,14,9,43,Piracicaba,2021,Novembro,24,63,"2,4",,,4208215,"0,32%",13309
0,19,8,1,10,7,39,Piracicaba,2021,Dezembro,"24,5",66,"2,4",,,3781515,"0,32%",11959
0,18,7,2,9,7,35,Piracicaba,2022,Janeiro,"24,7",76,"2,1",,,4372065,"0,25%",11147
0,28,10,2,11,8,43,Piracicaba,2022,Fevereiro,"25,7",69,2,,,4372065,"0,25%",11147
0,25,9,2,11,8,40,Piracicaba,2022,Março,"25,7",72,"2,1",8,,4372065,"0,25%",11147
0,34,11,3,14,10,38,Piracicaba,2022,Abril,"23,5",68,2,7,"26,8",4123605,"0,25%",10513
3,36,13,5,17,13,27,Piracicaba,2022,Maio,"18,9",69,2,9,46,4123605,"0,25%",10513
2,34,14,9,20,18,23,Piracicaba,2022,Junho,"18,4",73,"1,7",9,"13,8",4123605,"0,25%",10513
1,52,18,5,21,15,31,Piracicaba,2022,Julho,20,61,"1,9",1,1,4123605,"0,25%",10513
4,40,16,4,20,14,37,Piracicaba,2022,Agosto,20,60,"2,2",4,"26,8",4123605,"0,25%",10513
6,31,13,3,18,12,38,Piracicaba,2022,Setembro,"20,1",68,"2,6",13,"75,6",4095500,"0,25%",10442
3,25,11,2,14,9,51,Piracicaba,2022,Outubro,"23,6",68,"2,3",17,"110,8",4095500,"0,25%",10442
0,20,8,2,12,8,51,Piracicaba,2022,Novembro,"22,9",61,"2,7",8,"71,8",4186400,"0,25%",10673
0,17,7,2,10,7,36,Piracicaba,2022,Dezembro,"24,2",73,"2,3",15,"185,2",4186400,"0,25%",10673
1,17,6,2,9,6,33,Piracicaba,2023,Janeiro,"24,2",78,"2,1",22,"369,4",4109335,"0,27%",11153
1,17,7,2,10,7,33,Piracicaba,2023,Fevereiro,"24,6",80,2,19,"186,8",4109335,"0,27%",11153
2,21,9,2,12,8,39,Piracicaba,2023,Março,"25,1",75,"1,8",11,"82,4",4109335,"0,27%",11153
1,21,10,3,15,10,31,Piracicaba,2023,Abril,"22,3",75,"1,9",11,"113,2",4428770,"0,27%",12020
0,35,14,7,20,17,27,Piracicaba,2023,Maio,"19,4",74,"1,6",3,"27,6",4428770,"0,27%",12020
0,34,13,9,21,18,29,Piracicaba,2023,Junho,"17,7",76,"1,6",10,"57,2",4428770,"0,27%",12020
2,39,15,7,19,18,35,Piracicaba,2023,Julho,"18,6",71,"1,7",3,"16,6",4428770,"0,27%",12020
0,48,16,5,14,17,44,Piracicaba,2023,Agosto,21,65,"2,1",6,"27,8",4428770,"0,27%",12020
3,42,16,2,12,12,58,Piracicaba,2023,Setembro,"25,1",60,"2,2",6,"30,4",4498204,"0,27%",12208
0,30,12,2,16,11,52,Piracicaba,2023,Outubro,"24,6",74,"2,3",15,182,4498204,"0,27%",12208
0,33,12,1,17,10,,Piracicaba,2023,Novembro,26,68,"2,3",13,178,4498204,"0,27%",12208
2,27,10,1,14,9,54,Piracicaba,2023,Dezembro,27,65,"2,3",8,63,4471940,"0,27%",12137